1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
1,1,1,1,1,1,140,65,70,47,151,5,10,105,19,1,1,20,107,1,41,880,437,437,35,14,1387,757,620,2299,46,46,12710,366,288,378,435,1839,1669,42,79,61,70,91,17,196,290,29,87,5,119,59,92,0,1,1,27.9,1,12,1,121,4,54,5,0,67,1,0,9.64E+03,0,93,0,5,0,7,224,80.2,19.8,1.48,144,8,2,6,9,15,0,3,1,25,3,0,1,5,4,9,5,5,0,0,0,1,9,5,0,1,5,3,1,2,3,0,2,2,0,2,1,1,0,4,1,0,0,1,1,1,0,1,1,1,yes
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,18,1,41,864,397,412,36,0,1303,568,444,2567,0,0,12535,339,260,275,408,1234,1498,50,52,53,57,33,18,266,353,14,65,5,96,55,79,0,1,1,30.6,1,6,1,123,0,28,0,0,3,0,0,2.72E+03,0,97.6,0,7,0,5,66,85,15,1.47,219,1,2,3,1,35,0,3,2,0,5,0,6,7,1,11,5,5,3,1,6,0,41,4,0,1,1,3,0,3,1,0,2,1,4,2,1,1,0,2,1,0,0,0,1,2,1,2,0,1,no
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25,561,171,151,34,0,1048,532,479,2289,0,0,8298,244,217,302,322,1563,932,37,84,33,43,0,11,143,336,16,32,5,52,42,21,0,1,1,30.5,1,10,1,26,0,23,0,0,40,0,0,1.25E+03,0,96.1,0,6,0,3,111,83.9,16.1,1.47,297,2,1,1,1,53,0,2,1,2,2,0,1,2,1,27,2,1,2,1,2,0,187,1,0,1,1,2,1,4,0,32,0,0,2,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,no
1,1,1,1,1,1,129,81,114,32,149,7,1,225,6,1,1,21,61,1,34,762,257,241,31,10,1315,758,397,2486,61,61,10412,413,285,395,463,1848,3124,49,84,37,56,42,16,420,508,13,41,5,72,45,47,0,1,1,27.8,1,11,1,67,0,67,5,0,55,10,0,7.82E+03,0,92.9,0,6,0,3,224,81.1,18.9,1.63,38,3,3,1,2,4,0,2,2,32,2,0,1,2,1,5,2,3,3,2,2,4,4,1,0,1,1,2,1,2,0,35,0,0,2,1,3,1,1,0,4,0,0,1,1,2,0,2,0,1,yes
1,1,1,1,1,1,53,47,50,25,90,3,3,119,7,1,1,9,47,1,14,692,69,72,26,5,1296,591,315,2247,19,19,10890,412,264,296,453,1806,1954,62,65,10,56,31,16,337,407,15,7,5,18,36,4,0,1,1,32,1,15,1,8,2,59,1,0,75,5,0,8.56E+03,0,93.3,0,5,3,1,196,83.8,16.2,1.6,87,0,0,1,0,5,0,0,0,19,0,0,1,0,2,5,1,1,0,0,0,1,8,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,623,297,292,32,0,1075,456,436,2215,0,0,8954,316,196,260,367,1246,1774,46,43,33,69,0,18,277,328,20,40,5,83,36,63,0,1,1,32,1,9,1,93,0,65,0,0,18,0,0,1.59E+03,0,96.1,0,5,0,4,70,85.8,14.2,1.46,273,3,1,3,1,6,0,6,2,56,3,0,2,5,0,12,0,2,4,0,0,2,153,4,0,1,1,1,1,0,0,0,3,0,3,1,2,1,0,0,2,0,0,1,1,2,0,1,1,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,924,346,319,34,0,1389,694,535,3020,0,0,14314,420,351,343,461,1784,1987,54,87,59,64,0,20,359,476,14,67,5,99,28,68,0,1,1,33.1,1,10,1,77,0,54,0,0,6,0,0,4.33E+03,0,96.3,0,8,0,5,114,85.6,14.4,1.53,329,3,3,2,1,28,0,4,4,4,5,0,3,3,4,11,3,5,10,2,2,1,146,3,0,1,0,2,1,2,0,0,5,2,2,1,1,2,0,2,5,2,3,4,2,1,1,1,1,0,no
1,1,1,1,1,1,4,9,9,7,25,0,1,12,2,1,1,6,9,1,26,459,139,137,29,3,726,401,200,1377,0,0,5000,245,151,241,267,1138,1275,36,34,22,45,9,12,147,191,8,22,5,35,16,23,0,1,1,26.4,1,1,1,17,1,28,0,1,35,0,0,1.21E+03,0,95.7,0,5,0,4,66,80.2,19.8,1.54,34,3,4,0,1,5,0,2,2,24,2,0,1,1,0,5,2,1,0,0,4,0,14,1,0,0,0,1,0,2,1,0,1,0,2,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,no
1,1,1,1,1,1,88,21,21,61,134,12,3,141,13,1,3,27,9,1,36,1001,336,311,27,20,1756,867,586,3332,9,9,11600,499,396,400,574,2047,2004,43,106,44,82,71,17,349,460,29,48,5,92,68,68,6,1,1,29,1,15,1,113,3,7,3,0,25,0,6,2.05E+03,0,98.8,0,5,2,12,54,80.9,19.1,1.57,82,7,2,1,4,5,0,1,1,3,6,0,4,2,1,6,4,6,2,3,4,1,19,2,0,1,1,3,1,2,3,0,2,1,2,1,2,0,0,0,3,0,0,2,3,0,0,0,0,1,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1420,250,238,32,0,2312,1019,988,4999,0,0,21074,582,538,481,699,2237,2401,61,198,29,114,0,19,479,744,46,41,5,66,87,49,0,1,1,29.6,1,23,1,63,0,12,0,0,8,0,0,178,0,99.7,0,8,0,8,12,84.8,15.2,1.45,549,3,4,4,3,44,0,1,3,12,4,0,0,1,1,23,2,3,2,4,1,0,170,3,0,1,3,4,1,2,2,0,2,0,2,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,no
0,0,1,1,1,1,24,16,19,9,27,0,1,14,1,1,0,2,0,1,29,556,176,183,27,0,860,445,371,1683,0,0,5587,239,173,246,286,1027,1352,50,53,19,46,0,7,240,295,14,29,5,38,41,35,0,1,1,24.3,1,3,1,37,1,18,0,0,43,0,0,3.26E+03,0,95.1,0,5,0,6,112,80.9,19.1,1.43,23,0,2,3,1,1,0,0,1,2,3,0,4,0,0,3,1,1,0,0,5,2,10,2,0,1,1,2,1,0,0,38,3,0,1,0,3,2,1,1,0,2,0,0,0,0,0,2,0,0,no
1,1,1,1,1,1,12,8,9,7,16,2,4,19,6,1,1,1,13,1,17,218,123,133,30,0,292,207,51,545,4,4,2974,87,51,132,94,336,252,36,7,22,13,24,3,46,61,5,15,5,21,7,17,0,1,1,24.2,1,1,1,22,1,5,0,0,2,0,0,1.12E+03,0,96.3,0,4,0,4,27,80.1,19.9,1.27,46,5,2,1,1,8,0,1,0,2,0,0,1,3,0,0,1,1,1,1,1,1,5,0,0,0,1,0,0,0,2,0,2,0,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,yes
0,0,1,1,1,1,35,35,48,17,64,0,1,115,3,1,0,8,0,1,41,664,262,274,34,3,1007,533,280,1791,0,0,7736,252,214,243,313,1211,1296,39,56,39,35,0,9,205,289,11,39,5,62,29,42,0,1,1,29.1,1,8,1,67,0,20,1,0,13,0,0,3.09E+03,0,97.2,0,6,0,6,60,79.6,20.4,1.39,127,2,0,5,5,19,0,3,3,9,5,0,3,3,3,9,2,2,4,3,1,4,69,0,0,1,1,0,1,0,3,84,1,1,0,3,0,0,1,1,1,1,1,1,0,0,0,1,0,0,yes
1,1,1,1,1,1,24,4,4,7,17,1,1,7,4,1,1,6,10,1,43,847,325,320,35,0,1259,628,407,2546,4,4,12680,372,252,349,413,1573,1897,44,84,50,55,27,17,343,439,23,62,5,78,36,59,0,1,1,27.1,1,7,1,76,1,6,0,0,25,0,0,3.02E+03,0,98.6,0,5,0,6,49,84.4,15.6,1.56,45,6,3,3,3,8,0,0,3,3,3,0,4,3,3,3,4,2,2,1,6,2,79,1,0,1,1,6,1,3,2,0,2,0,1,3,3,0,0,2,3,0,0,0,2,2,0,1,0,1,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,1,1,1,1,1,1,2,2,11,40,0,1,52,1,1,1,8,2,1,30,1032,159,143,33,12,1565,801,1248,3994,0,0,15846,403,425,355,464,2172,1941,39,224,28,93,21,25,340,693,17,20,5,47,40,28,0,1,1,30.6,1,8,1,20,1,23,6,0,16,0,0,349,0,99,0,6,1,2,31,84,16,1.57,368,2,2,1,1,94,0,2,2,19,1,0,3,2,0,20,0,4,2,0,0,0,205,2,0,1,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,yes
1,1,1,1,1,1,2,0,0,12,13,0,0,16,1,1,1,1,15,1,42,798,262,251,33,0,1269,636,153,2479,0,0,11287,372,279,312,394,1439,1731,40,29,45,67,17,18,181,222,30,41,5,70,10,49,0,1,1,26.6,1,8,1,52,1,2,0,0,3,0,0,642,0,99.8,0,6,0,7,4,84.2,15.8,1.47,62,1,4,1,6,11,0,2,2,2,2,0,3,4,5,8,3,3,4,2,5,1,41,0,0,1,0,5,1,2,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,no
1,1,1,1,1,1,24,22,24,8,34,3,1,80,9,1,1,4,22,1,10,710,137,138,25,0,1077,575,522,2266,22,22,8350,304,267,299,356,1339,1818,39,100,16,43,9,13,367,477,13,22,5,35,42,27,0,1,1,29,1,7,1,37,4,17,0,0,3,0,0,6.14E+03,0,96.8,0,5,0,2,95,83.2,16.8,1.49,97,1,2,1,3,9,0,0,1,0,0,0,1,1,1,9,0,1,0,2,0,1,26,2,0,1,1,0,1,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,yes
1,1,1,1,1,1,304,84,144,44,175,9,4,148,14,1,3,27,62,1,36,758,165,166,39,13,1387,777,402,2712,25,25,8795,408,337,353,472,2027,3033,35,87,20,61,80,19,384,495,15,15,5,51,42,20,40,1,1,30.2,1,4,1,35,2,51,6,1,26,4,8,7.37E+03,0,94.4,1,5,1,3,191,80.4,19.6,1.55,150,2,2,0,1,23,0,2,2,0,0,1,1,0,1,21,0,0,1,3,5,0,5,1,1,1,2,1,0,2,1,11,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,493,136,130,27,0,808,435,261,1818,0,0,7093,271,150,285,276,1171,1509,52,48,20,48,0,12,258,306,15,18,5,32,5,22,0,1,1,32.4,1,4,1,21,0,32,0,0,4,0,0,1.81E+03,0,96.2,0,7,0,6,72,84.6,15.4,1.69,30,3,1,0,6,0,0,2,0,0,1,0,0,1,1,0,2,2,1,1,1,0,30,1,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,781,329,317,32,0,1150,536,1042,2607,0,0,12824,296,304,232,337,1352,1316,45,153,42,56,0,15,301,467,22,57,5,89,38,72,0,1,1,30.4,1,8,1,93,0,8,0,0,31,0,0,487,0,98.8,0,5,0,4,39,86.8,13.2,1.5,96,4,3,2,4,9,0,5,4,6,1,0,2,2,3,2,3,4,0,2,1,3,145,6,0,1,0,2,1,3,0,0,0,0,5,0,2,0,0,2,2,0,1,3,0,2,1,0,0,1,yes
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,765,377,381,35,0,1209,642,452,2491,0,0,8527,335,274,341,372,1783,3345,37,60,37,62,0,19,335,428,22,61,5,97,29,92,0,1,1,32.7,1,10,1,128,0,25,0,0,32,0,0,3.49E+03,0,96.9,0,6,0,9,94,82.6,17.4,1.62,271,6,6,2,6,19,0,3,3,0,5,0,4,2,3,7,3,4,3,3,3,4,72,2,0,1,1,1,1,2,2,8,1,0,1,2,0,1,1,0,2,3,1,1,0,0,0,0,0,2,no
1,1,1,1,1,1,141,58,82,26,94,10,1,74,11,1,3,7,43,1,30,494,239,250,29,2,789,417,326,1539,37,37,6540,246,150,228,265,1052,1799,35,53,33,43,39,15,203,274,5,49,5,54,13,49,6,1,1,28.8,1,9,1,49,3,34,1,0,41,3,9,5.02E+03,0,93.9,0,5,0,7,118,82.5,17.5,1.41,95,4,5,2,6,12,0,3,2,6,2,0,2,2,1,3,2,6,1,0,2,3,63,1,0,1,1,3,1,1,1,0,1,0,2,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,yes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,598,359,362,33,0,992,629,299,2093,0,0,7907,293,206,423,311,1358,1705,63,55,52,46,0,9,306,361,15,61,5,85,15,78,0,1,1,28.8,1,12,1,99,0,11,0,0,0,0,0,379,0,99.1,0,4,0,5,18,83.6,16.4,1.42,57,2,4,6,2,0,0,3,0,0,6,0,1,2,4,2,5,7,4,1,3,1,5,3,0,1,0,3,0,2,1,0,1,0,0,1,0,0,0,2,2,0,1,0,1,1,0,4,0,1,no
0,0,1,1,1,1,26,16,19,16,52,1,0,82,1,1,0,12,0,1,21,404,138,135,32,4,751,425,218,1420,0,0,3874,248,197,205,270,1141,1195,72,33,17,32,0,9,180,221,8,15,5,37,21,20,0,1,1,28.5,1,7,1,33,0,28,2,0,28,0,0,2.62E+03,0,94.2,0,4,2,6,105,81.6,18.4,1.4,35,0,0,1,4,8,0,2,3,2,1,0,0,4,2,1,1,3,1,0,1,0,2,2,0,0,0,1,0,1,1,16,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,no
0,0,1,1,1,1,7,27,35,5,45,0,1,13,1,1,0,6,0,1,31,1451,433,431,26,4,2054,933,1034,4015,0,0,22535,549,426,433,643,2222,3375,44,152,41,96,0,28,527,727,26,76,5,115,73,112,0,1,1,28.5,1,18,1,147,1,89,2,0,135,0,0,1.68E+04,0,93.6,0,7,1,10,323,83.9,16.1,1.48,280,5,3,4,2,31,0,5,3,46,5,0,3,2,5,9,5,1,3,3,2,5,159,2,0,1,1,2,1,3,1,120,0,1,2,0,2,1,1,0,3,1,0,0,1,3,0,2,0,1,yes
