1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
43,1013,676,2037,573,27,133,9832,1329,348,323,48,1541,307,297,225,6,253,1.49,318,15,45,1,24,15.2,84.8,27,1,1,1,1,34,5,99,95.1,2.50E+03,25,9,34,0,52,200,18,205,48,4,33,0,29,0,0,0,2,0,50,2,0,9,0,0,1,2,0,0,1,1,4,2,14,0,0,1,0,0,2,2,1,3,2,2,5,0,0,0,12,2,0,0,0,0,0,2,0,0,1,2,2,0,0,4,2,1,0,0,15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,no
43,840,615,1716,502,33,78,11471,1524,278,254,52,1115,252,230,197,4,192,1.36,391,12,50,1,16,15.1,84.9,28,1,1,1,1,31.1,5,111,96.2,8.74E+03,22,7,19,0,16,292,11,282,66,14,45,1,72,1,1,1,2,1,95,5,0,10,1,39,6,8,3,0,1,2,4,7,3,0,3,2,1,0,3,4,3,2,2,1,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,1,6,1,0,3,1,1,1,0,0,1,1,1,0,1,1,1,1,2,0,0,0,0,0,1,1,0,1,no
47,1293,641,2602,541,32,79,5827,2189,259,426,55,1321,537,364,252,3,400,1.49,658,16,132,1,51,19.7,80.3,28,1,1,1,1,34.2,5,118,97.1,634,39,17,34,0,59,224,20,223,61,5,36,1,36,1,1,1,1,0,58,3,1,5,1,0,4,11,2,0,1,3,1,1,0,0,1,0,1,0,2,0,1,2,1,1,0,22,2,114,33,1,14,193,67,89,2,2,3,119,0,1,0,3,7,1,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no
24,11,8,15,5,3,1,5,5,5,4,0,4,0,4,0,1,0,1,0,0,0,0,0,38.1,61.9,0,0,0,0,0,20,0,0,96.3,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
50,464,326,1028,260,29,32,4664,1110,160,143,20,578,184,134,80,4,171,1.46,113,3,8,1,9,15.1,84.9,18,1,1,1,1,28.8,5,47,97.1,555,13,6,18,0,18,130,3,144,27,1,14,1,20,1,1,1,2,1,31,2,1,5,1,9,2,0,1,0,1,2,0,1,17,0,1,0,0,0,1,1,1,1,0,0,0,0,2,0,13,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
47,1451,903,2811,737,34,16,12649,3837,415,442,65,1876,440,400,322,6,389,1.55,465,19,49,1,38,15.9,84.1,64,1,1,1,1,32,5,85,99.5,555,5,16,41,0,9,374,24,363,103,8,88,0,64,0,0,0,4,0,83,6,0,0,0,0,3,4,3,0,4,1,4,4,99,0,2,6,1,0,3,1,3,1,3,1,6,0,1,0,0,3,0,0,0,0,0,3,0,0,1,0,3,3,0,2,1,1,1,0,22,1,0,1,0,1,1,1,1,2,2,0,0,0,1,0,0,0,0,yes
50,1070,599,2109,484,26,52,9374,1678,269,367,42,1195,415,335,177,5,372,1.55,236,20,33,1,32,17,83,34,1,1,1,1,27.5,5,43,97.6,6.65E+03,27,13,32,0,2,177,11,170,52,5,29,1,27,1,1,1,0,0,29,3,1,9,1,0,1,0,1,0,0,1,1,0,53,0,1,0,0,0,4,1,2,1,0,0,2,27,1,73,2,5,9,46,28,41,0,1,6,58,0,1,2,2,6,1,0,1,0,6,12,0,1,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,no
39,822,476,1478,451,34,82,6343,919,247,276,53,1132,197,259,193,5,185,1.49,154,7,9,1,10,16.2,83.8,27,1,1,1,1,30.2,5,120,95.8,4.72E+03,19,5,22,0,18,185,8,171,58,5,34,1,39,1,1,1,1,1,29,5,0,2,1,16,0,7,1,0,1,2,4,3,8,0,0,0,1,0,1,0,0,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,5,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,no
46,1456,875,3581,731,29,209,11863,2518,390,513,76,1341,780,457,341,4,557,1.38,705,21,174,1,51,15.8,84.2,9,1,1,1,1,27.4,5,206,94.8,2.69E+03,66,11,14,0,46,81,18,76,21,1,9,0,7,0,0,0,0,0,13,1,0,37,0,0,2,4,1,0,1,0,0,0,92,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,12,0,1,0,1,0,0,1,0,no
2,5,11,3,9,3,0,55,1,9,1,0,12,0,1,0,1,0,1.33,0,0,0,1,0,64.7,35.3,0,1,1,1,1,33.3,1,0,100,7,0,0,2,0,0,5,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
