1,1,1,1,1,1,2,35,1,46,1,1,1,1,24,7544,559,210,218,27,303,1285,28,846,530,58,1,5,15,1749,186,288,264,1650,379,33,59,9,20,30.4,129,44,57,1,18,113,19,1,43,62,74,69,3,23,1,36,42,7,1,0,163,137,0,5.82E+03,230,4,3,0,18.4,81.6,8,4,0,58,1.47,93.6,0,7,7,1,0,2,4,5,3,1,6,3,5,0,1,1,2,1,0,2,4,0,1,0,8,1,2,0,0,1,0,2,1,2,0,1,1,0,1,0,1,1,0,1,yes
1,1,1,1,1,1,1,66,1,111,1,1,1,1,21,12374,1066,267,259,22,421,2094,48,1750,850,63,1,5,25,2578,292,616,556,3278,567,48,84,18,47,29.3,241,49,110,22,14,102,27,20,85,71,53,44,13,0,3,65,79,13,4,0,548,119,0,9.00E+03,668,5,3,0,19.5,80.5,2,5,4,36,1.65,94,13,38,38,4,3,4,16,3,1,2,3,0,1,0,4,2,1,1,0,4,12,0,52,1,23,1,2,0,1,2,2,1,0,3,0,0,2,0,0,1,0,0,6,1,yes
1,1,1,1,1,1,1,27,1,62,1,1,1,1,29,10795,769,251,232,19,294,1386,30,1298,596,51,1,5,15,2659,254,473,436,2466,460,31,83,21,35,28.2,176,61,33,2,10,80,13,21,24,62,62,55,4,0,0,50,75,2,2,0,360,68,0,8.38E+03,456,4,53,0,17.2,82.8,2,5,0,42,1.48,93.7,0,0,0,5,1,4,39,2,3,1,0,1,3,0,0,1,1,1,0,1,2,0,6,1,13,3,2,1,0,3,1,0,1,1,1,0,1,2,1,1,0,1,3,1,yes
1,1,1,1,1,1,2,45,1,47,1,1,1,1,31,8996,642,315,314,35,330,1279,54,803,604,84,1,5,7,981,185,282,270,1450,143,55,16,11,12,30.6,127,69,25,5,3,60,14,11,38,70,62,43,4,14,1,42,55,0,0,0,187,62,0,8.11E+03,206,10,17,0,19.5,80.5,2,4,0,46,1.38,92.5,0,21,21,5,3,3,3,4,5,5,3,2,2,0,2,0,1,3,0,2,0,0,3,1,3,5,1,1,0,0,1,2,0,1,0,0,2,2,0,1,0,0,2,1,yes
1,1,1,1,1,1,1,9,1,14,1,1,1,1,22,5452,490,53,56,9,149,796,4,832,307,21,1,5,10,1121,149,233,181,1788,506,9,63,18,45,29.6,70,3,72,16,12,33,6,6,44,9,18,14,5,0,0,35,6,1,0,0,202,192,0,86,307,0,69,0,19.4,80.6,0,4,0,45,1.93,97.2,0,0,0,0,1,0,5,0,0,1,2,0,0,0,0,0,0,0,0,1,6,0,4,0,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,yes
0,0,0,0,0,0,0,0,1,0,1,1,1,1,28,8683,658,172,182,16,237,1381,23,1034,430,49,0,5,17,1594,193,357,323,2226,454,34,102,15,31,27.4,154,40,0,0,0,0,0,14,0,41,0,0,0,0,0,48,90,0,0,0,289,88,0,1.84E+03,410,1,40,0,16,84,0,5,0,38,1.72,93,4,0,0,2,0,2,58,1,1,2,0,3,1,0,1,1,0,0,0,4,1,0,76,1,15,3,1,1,0,0,1,1,0,5,0,0,1,1,0,0,0,0,1,0,no
1,1,1,1,1,1,1,14,1,32,1,1,1,1,28,5982,433,106,103,18,187,890,12,668,366,23,1,5,5,805,152,229,217,1191,123,14,18,2,12,32.5,90,17,57,0,6,69,20,11,83,14,43,42,9,0,1,40,43,1,2,0,119,47,0,4.50E+03,139,0,11,0,17.4,82.6,4,5,0,41,1.65,93.3,1,0,0,1,1,3,19,2,0,1,1,1,0,0,0,2,1,1,0,0,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,yes
1,1,1,1,1,0,1,0,1,2,1,1,1,1,22,1733,125,83,79,8,114,507,10,173,132,20,1,5,3,175,18,52,44,320,102,13,0,0,8,26.5,5,12,6,0,0,6,0,0,0,14,7,6,9,0,1,6,2,0,4,0,29,37,0,479,30,1,0,0,19.7,80.3,0,3,0,32,1.33,98.6,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2,1,0,1,0,0,1,1,0,0,0,1,0,1,yes
1,1,1,1,1,1,1,27,1,42,1,1,1,1,34,12844,824,386,375,40,377,1681,55,1183,666,89,1,5,18,1215,251,369,332,2516,642,70,112,16,30,31.1,126,83,1,0,6,31,7,10,12,93,14,14,1,0,0,55,19,4,1,0,275,282,0,6.83E+03,405,8,46,0,16.1,83.9,0,4,0,53,1.69,96.2,0,0,0,6,0,6,0,8,4,4,2,3,4,0,2,4,2,5,0,0,7,0,93,0,18,2,0,3,2,1,2,2,2,3,2,0,5,1,1,0,0,2,3,1,yes
1,1,1,1,1,1,1,30,1,30,1,1,1,1,29,8323,587,275,267,41,274,1806,39,1057,575,67,1,5,16,1276,271,315,275,1958,269,37,43,7,25,33.2,41,54,92,8,7,68,13,13,100,67,57,30,1,0,0,42,8,6,0,0,188,166,0,637,238,4,24,1,17.2,82.8,13,6,7,50,1.65,98.4,3,0,0,2,1,2,2,2,2,6,1,1,6,0,4,3,0,0,0,2,15,4,56,1,4,2,1,0,1,0,2,3,0,2,0,0,1,3,1,1,0,2,1,0,yes
